Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:66N38jZOApS3dGhy8ijBVV,"Lie","You Never Walk Alone","BTS",2017-02-13,215752,53,false,,2025-09-15T13:00:30Z,"кей-поп","BIGHIT MUSIC",0.541,0.779,6,-5.581,0,0.033,0.00338,0,0.177,0.501,94.069,3
spotify:track:5tLC6mhPAWJ2s2Wr4A6qHX,"BTS Cypher 4","You Never Walk Alone","BTS",2017-02-13,294463,52,false,,2025-09-15T13:00:30Z,"кей-поп","BIGHIT MUSIC",0.817,0.797,1,-4.395,0,0.0839,0.00533,0.00000777,0.0551,0.361,119.978,4
spotify:track:6KhAXXgDtEEahVzATvFNcn,"Moon","MAP OF THE SOUL : 7","BTS",2020-02-21,208589,66,false,,2025-09-15T13:00:30Z,"кей-поп","BIGHIT MUSIC",0.704,0.646,6,-6.658,1,0.0596,0.0104,0,0.191,0.64,141.87,4
spotify:track:25MHcbjvSdcfTiFgbKJiZF,"Inner Child","MAP OF THE SOUL : 7","BTS",2020-02-21,233265,65,false,,2025-09-15T13:00:30Z,"кей-поп","BIGHIT MUSIC",0.589,0.696,11,-7.981,1,0.0725,0.017,0,0.0808,0.33,134.953,4
spotify:track:2QP1vvLPtAVOVAFabpqypA,"Butterfly","The Most Beautiful Moment in Life: Young Forever","BTS",2016-05-02,240090,54,false,,2025-09-15T13:00:30Z,"кей-поп","BIGHIT MUSIC",0.439,0.747,6,-4.583,1,0.0535,0.0107,0,0.101,0.275,149.786,4
spotify:track:0Q2rXWKozTyewEaVUkFhmA,"Begin","You Never Walk Alone","BTS",2017-02-13,229740,51,false,,2025-09-15T13:00:30Z,"кей-поп","BIGHIT MUSIC",0.566,0.842,9,-5.222,0,0.0442,0.00357,0.000253,0.141,0.308,131.05,4
spotify:track:1wdWWC1YzKkCWp06e0IPqH,"Boy in Luv","Skool Luv Affair (Special Addition)","BTS",2014-05-14,230778,53,false,,2025-09-15T13:00:30Z,"кей-поп","BIGHIT MUSIC",0.491,0.947,0,-2.252,1,0.306,0.00261,0,0.34,0.474,166.236,4
spotify:track:0G1Y5QG8wULxMzm45vqPIZ,"2! 3!","You Never Walk Alone","BTS",2017-02-13,272537,52,false,,2025-09-15T13:00:30Z,"кей-поп","BIGHIT MUSIC",0.442,0.928,7,-4.096,1,0.207,0.0257,0,0.1,0.601,169.847,4
spotify:track:612T32kWgsXgsJ5gl8KXpN,"Ma City","The Most Beautiful Moment in Life: Young Forever","BTS",2016-05-02,256838,54,false,,2025-09-15T13:00:30Z,"кей-поп","BIGHIT MUSIC",0.678,0.97,6,-2.155,0,0.0989,0.000264,0,0.0548,0.783,122.017,4
spotify:track:6aDhj6RxOvQ4GFo9U7lZYi,"Lost","You Never Walk Alone","BTS",2017-02-13,241787,51,false,,2025-09-15T13:00:30Z,"кей-поп","BIGHIT MUSIC",0.547,0.838,9,-4.157,0,0.0544,0.000374,0,0.0562,0.47,85.018,4
spotify:track:5oXLcjfVfq0QxIfgIHgYGn,"Just One Day","Skool Luv Affair (Special Addition)","BTS",2014-05-14,239469,57,false,,2025-09-15T13:00:30Z,"кей-поп","BIGHIT MUSIC",0.685,0.713,6,-4.705,0,0.266,0.179,0,0.377,0.301,95.092,4
spotify:track:5grRCOfgYUpsGHsDHl4K1Y,"Stigma","You Never Walk Alone","BTS",2017-02-13,216063,57,false,,2025-09-15T13:00:30Z,"кей-поп","BIGHIT MUSIC",0.566,0.475,0,-5.556,0,0.089,0.148,0,0.139,0.335,136.442,4
spotify:track:2j9ipQhjMruvvqN2azJgtF,"Intro: Boy Meets Evil","You Never Walk Alone","BTS",2017-02-13,121770,50,false,,2025-09-15T13:00:30Z,"кей-поп","BIGHIT MUSIC",0.573,0.89,5,-3.53,0,0.214,0.0212,0,0.132,0.242,130.251,4
spotify:track:6bv8GUc337blg2QcskhdAJ,"Jump","Skool Luv Affair (Special Addition)","BTS",2014-05-14,236488,52,false,,2025-09-15T13:00:30Z,"кей-поп","BIGHIT MUSIC",0.495,0.974,7,-0.947,0,0.282,0.0349,0,0.44,0.763,102.077,4
spotify:track:6u6d06X2GzZ9AjPrh14MJH,"Am I Wrong","You Never Walk Alone","BTS",2017-02-13,213082,54,false,,2025-09-15T13:00:30Z,"кей-поп","BIGHIT MUSIC",0.76,0.834,6,-4.992,1,0.0494,0.00125,0.0000107,0.0868,0.679,107.988,4
